class,genus,species,synonyms,common_names,status
AMPHIBIA,Andinobates,dorisswansonae,Dendrobates dorisswansoni  ,,VU
AMPHIBIA,Andinobates,opisthomelas,Dendrobates opisthomelas  |Ranitomeya opisthomelas,Andean poison frog,VU
AMPHIBIA,Andinobates,tolimensis,Ranitomeya tolimense,,VU
AMPHIBIA,Andinobates,viridis,Dendrobates viridis  ,Green poison frog,VU
AMPHIBIA,Andinobates,virolinensis,Dendrobates virolinensis  |Ranitomeya virolensis  ,,EN
AMPHIBIA,Andinophryne,colomai,,Carchi Andes toad,CR
INSECTA,Andrena,labiatula,,,CR
INSECTA,Andrena,stepposa,,,EN
AMPHIBIA,Andrias,davidianus,Sieboldia  davidiana,Chinese giant salamander,CR
INSECTA,Anergates,atratulus,,,VU
INSECTA,Aneuretus,simoni,,Sri Lankan relict ant,CR
AMPHIBIA,Anhydrophryne,ngongoniensis,Arthroleptella ngongoniensis  ,Mistbelt chirping frog,EN
AMPHIBIA,Anhydrophryne,rattrayi,,Hogsback frog,EN
INSECTA,Anischnansis,burtti,Ischnansis burtti  ,Usambara splendid grasshopper,CR
INSECTA,Anisogomphus,solitaris,,,CR
INSECTA,Anisolabis,scotti,Brachylabis scotti  ,,EN
AMPHIBIA,Anodonthyla,hutchisoni,,,EN
AMPHIBIA,Anodonthyla,montana,,Mountain climbing frog,VU
AMPHIBIA,Anodonthyla,rouxae,,Madagascar climbing frog,EN
AMPHIBIA,Anodonthyla,vallani,,,CR
AVES,Anodorhynchus,glaucus,,Glaucous macaw,CR
AVES,Anodorhynchus,hyacinthinus,,Hyacinth macaw,VU
AVES,Anodorhynchus,leari,,Lear's macaw,EN
AMPHIBIA,Anomaloglossus,beebei,Colostethus beebei  ,,VU
AMPHIBIA,Anomaloglossus,breweri,Colostethus breweri  ,,VU
AMPHIBIA,Anomaloglossus,murisipanensis,Colostethus murisipanensis  ,,VU
INSECTA,Anoplolepis,nuptialis,,,VU
MAMMALIA,Anotomys,leander,,Ecuadoran ichthyomyine,VU
AVES,Anser,cygnoid,Anser cygnoides,Swan goose,VU
AVES,Anser,erythropus,,Lesser white-fronted goose,VU
AMPHIBIA,Ansonia,fuliginea,Ansonia altitudinis  ,,VU
AMPHIBIA,Ansonia,guibei,,,EN
AMPHIBIA,Ansonia,latidisca,,,EN
AMPHIBIA,Ansonia,mcgregori,,,VU
AMPHIBIA,Ansonia,muelleri,,,VU
AMPHIBIA,Ansonia,penangensis,,,VU
AMPHIBIA,Ansonia,platysoma,,,EN
AMPHIBIA,Ansonia,siamensis,,,VU
AMPHIBIA,Ansonia,tiomanica,,,VU
AMPHIBIA,Ansonia,torrentis,,,VU
INSECTA,Anthicus,sacramento,,Sacramento beetle,EN
AVES,Anthocephala,floriceps,,Blossomcrown,VU
AVES,Anthracoceros,marchei,,Palawan hornbill,VU
AVES,Anthracoceros,montani,,Sulu hornbill,CR
AVES,Anthreptes,pallidigaster,,Amani sunbird,EN
AVES,Anthreptes,rubritorques,,Banded sunbird,VU
